Date,portval,profit
2016-09-19,18228.315779646207,8228.315779646207
2016-09-20,18272.81096854798,8272.81096854798
2016-09-21,18225.781488634882,8225.781488634882
2016-09-22,18383.170506209535,8383.170506209535
2016-09-23,18412.001492943073,8412.001492943073
2016-09-26,18412.001492943073,8412.001492943073
2016-09-27,18345.00526736054,8345.005267360539
2016-09-28,18494.20966881675,8494.209668816751
2016-09-29,18516.68741151673,8516.68741151673
2016-09-30,18558.32642017624,8558.32642017624
2016-10-03,18561.27322280891,8561.273222808912
2016-10-04,18595.370622610753,8595.370622610753
2016-10-05,18502.91020039496,8502.91020039496
2016-10-06,18538.226199988872,8538.226199988872
2016-10-07,18508.026377055663,8508.026377055663
2016-10-10,18484.80717361736,8484.807173617359
2016-10-11,18410.992573673146,8410.992573673146
2016-10-12,18238.037149977903,8238.037149977903
2016-10-13,18157.120289545637,8157.120289545637
2016-10-14,18323.10137379407,8323.10137379407
2016-10-17,18233.98738840664,8233.98738840664
2016-10-18,18281.927017503687,8281.927017503687
2016-10-19,18234.7289581225,8234.728958122501
2016-10-20,18275.792728833778,8275.792728833778
2016-10-21,18272.861972589595,8272.861972589595
2016-10-24,18272.861972589595,8272.861972589595
2016-10-25,18286.94011272877,8286.940112728771
2016-10-26,18138.45989626806,8138.459896268061
2016-10-27,18315.081230158652,8315.081230158652
2016-10-28,18278.87443709296,8278.87443709296
2016-10-31,18296.35588300627,8296.355883006268
2016-11-01,18337.361850404333,8337.361850404333
2016-11-02,18173.502436199215,8173.502436199215
2016-11-03,18140.47180897837,8140.471808978371
2016-11-04,18063.13915957072,8063.139159570721
2016-11-07,18299.523307481824,8299.523307481824
2016-11-08,18430.023747298495,8430.023747298495
2016-11-09,18641.991663907334,8641.991663907334
2016-11-10,19171.22136317591,9171.221363175911
2016-11-11,19192.310196038274,9192.310196038274
2016-11-14,19444.911073257146,9444.911073257146
2016-11-15,19547.1841494939,9547.1841494939
2016-11-16,19596.98238076052,9596.98238076052
2016-11-17,19496.94171268677,9496.94171268677
2016-11-18,19769.7760903562,9769.776090356201
2016-11-21,19769.7760903562,9769.776090356201
2016-11-22,19845.193207364726,9845.193207364726
2016-11-23,19839.39020084439,9839.390200844391
2016-11-25,19980.03478069457,9980.034780694568
2016-11-28,19951.230698401934,9951.230698401934
2016-11-29,19954.843084169814,9954.843084169814
